DEBUG 2024-12-24 14:43:00,359 autoreload File E:\price_patrol\venv\Lib\site-packages\bson\int64.py first seen with mtime 1734821621.7184875
DEBUG 2024-12-24 14:43:00,359 autoreload File E:\price_patrol\venv\Lib\site-packages\aiohttp\http_exceptions.py first seen with mtime 1734847365.159922
DEBUG 2024-12-24 14:43:00,359 autoreload File E:\price_patrol\venv\Lib\site-packages\django\db\backends\base\validation.py first seen with mtime 1734895446.3521647
DEBUG 2024-12-24 14:43:00,359 autoreload File E:\price_patrol\venv\Lib\site-packages\certifi\core.py first seen with mtime 1734813898.4971116
DEBUG 2024-12-24 14:43:00,359 autoreload File E:\price_patrol\venv\Lib\site-packages\dns\_immutable_ctx.py first seen with mtime 1734813897.3851726
DEBUG 2024-12-24 14:43:00,359 autoreload File E:\price_patrol\venv\Lib\site-packages\setuptools\_vendor\packaging\requirements.py first seen with mtime 1734813769.5202084
DEBUG 2024-12-24 14:43:00,359 autoreload File E:\price_patrol\venv\Lib\site-packages\django\middleware\cache.py first seen with mtime 1734895446.3890905
DEBUG 2024-12-24 14:43:00,359 autoreload File E:\price_patrol\venv\Lib\site-packages\dns\zonetypes.py first seen with mtime 1734813897.3971732
DEBUG 2024-12-24 14:43:00,359 autoreload File E:\price_patrol\venv\Lib\site-packages\django\core\cache\backends\__init__.py first seen with mtime 1734895446.3301623
DEBUG 2024-12-24 14:43:00,359 autoreload File E:\price_patrol\venv\Lib\site-packages\setuptools\errors.py first seen with mtime 1734813769.4892082
DEBUG 2024-12-24 14:43:00,359 autoreload File E:\price_patrol\venv\Lib\site-packages\django\contrib\admin\widgets.py first seen with mtime 1734895445.67516
DEBUG 2024-12-24 14:43:00,359 autoreload File E:\price_patrol\venv\Lib\site-packages\django\core\files\base.py first seen with mtime 1734895446.3351612
DEBUG 2024-12-24 14:43:00,359 autoreload File E:\price_patrol\venv\Lib\site-packages\dns\version.py first seen with mtime 1734813897.3951735
DEBUG 2024-12-24 14:43:00,359 autoreload File E:\price_patrol\venv\Lib\site-packages\django\contrib\admin\templatetags\admin_modify.py first seen with mtime 1734895445.8021576
DEBUG 2024-12-24 14:43:00,359 autoreload File E:\price_patrol\venv\Lib\site-packages\pytz\__init__.py first seen with mtime 1734820878.03303
DEBUG 2024-12-24 14:43:00,359 autoreload File E:\price_patrol\venv\Lib\site-packages\django\db\models\functions\__init__.py first seen with mtime 1734895446.3720872
DEBUG 2024-12-24 14:43:00,359 autoreload File E:\price_patrol\venv\Lib\site-packages\django\utils\timesince.py first seen with mtime 1734895446.408157
DEBUG 2024-12-24 14:43:00,359 autoreload File E:\price_patrol\venv\Lib\site-packages\whitenoise\string_utils.py first seen with mtime 1734942033.780292
DEBUG 2024-12-24 14:43:00,359 autoreload File E:\price_patrol\venv\Lib\site-packages\dns\rdtypes\ANY\ZONEMD.py first seen with mtime 1734813897.4131737
DEBUG 2024-12-24 14:43:00,359 autoreload File E:\price_patrol\venv\Lib\site-packages\django\core\servers\__init__.py first seen with mtime 1734895446.348082
DEBUG 2024-12-24 14:43:00,359 autoreload File E:\price_patrol\venv\Lib\site-packages\aiohappyeyeballs\__init__.py first seen with mtime 1734847363.4587798
DEBUG 2024-12-24 14:43:00,359 autoreload File E:\price_patrol\venv\Lib\site-packages\django\db\migrations\operations\base.py first seen with mtime 1734895446.3640873
DEBUG 2024-12-24 14:43:00,359 autoreload File E:\price_patrol\venv\Lib\site-packages\django\core\management\base.py first seen with mtime 1734895446.3400817
DEBUG 2024-12-24 14:43:00,359 autoreload File C:\Users\vishn\anaconda3\Lib\subprocess.py first seen with mtime 1701712589.0
DEBUG 2024-12-24 14:43:00,359 autoreload File E:\price_patrol\venv\Lib\site-packages\django\utils\datetime_safe.py first seen with mtime 1734895446.403165
DEBUG 2024-12-24 14:43:00,359 autoreload File C:\Users\vishn\anaconda3\Lib\lzma.py first seen with mtime 1701712589.0
